"covariateId","covariateName","analysisId","conceptId","CovariateCount","covariateValue","WithOutcome_CovariateCount","WithNoOutcome_CovariateCount","WithOutcome_CovariateMean","WithNoOutcome_CovariateMean","StandardizedMeanDiff"
24818151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  24818-Injury of neck",101,24818,NA,0,NA,NA,NA,NA,4.07530871729083e-05
24818152,"Condition occurrence record observed during 30d on or prior to cohort index within condition group:  24818-Injury of neck",102,24818,NA,0,NA,NA,NA,NA,0.0370043302511728
24818153,"Condition occurrence record of primary inpatient diagnosis observed during 180d on or prior to cohort index within condition group:  24818-Injury of neck",103,24818,NA,0,NA,NA,NA,NA,-0.0758098043578903
24818251,"Condition era record observed during anytime on or prior to cohort index within condition group:  24818-Injury of neck",201,24818,212,0,19,193,0.0673758865248227,0.0691260744985673,-0.00694038225216796
24818252,"Condition era record observed concurrent (overlapping) with cohort index within condition group:  24818-Injury of neck",202,24818,NA,0,NA,NA,NA,NA,-0.0804228851753984
24966151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  24966-Esophageal varices",101,24966,NA,0,NA,NA,NA,NA,-0.0758098043578903
24966251,"Condition era record observed during anytime on or prior to cohort index within condition group:  24966-Esophageal varices",201,24966,NA,0,NA,NA,NA,NA,0.0499717678565535
24969151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  24969-Laryngitis",101,24969,NA,0,NA,NA,NA,NA,0.073281619235463
24969251,"Condition era record observed during anytime on or prior to cohort index within condition group:  24969-Laryngitis",201,24969,NA,0,NA,NA,NA,NA,0.0239228360846817
24970101,"Condition occurrence record observed during 365d on or prior to cohort index:  24970-Chronic laryngitis",101,24970,NA,0,NA,NA,NA,NA,-0.0709008461306822
24970201,"Condition era record observed during anytime on or prior to cohort index:    24970-Chronic laryngitis",201,24970,NA,0,NA,NA,NA,NA,-0.126033632552172
25297101,"Condition occurrence record observed during 365d on or prior to cohort index:  25297-Acute pharyngitis",101,25297,114,0,12,102,0.0425531914893617,0.0365329512893983,0.0308952336868528
25297102,"Condition occurrence record observed during 30d on or prior to cohort index:  25297-Acute pharyngitis",102,25297,NA,0,NA,NA,NA,NA,0.0381254423503179
25297151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  25297-Acute pharyngitis",101,25297,NA,0,NA,NA,NA,NA,0.0267905372480736
25297201,"Condition era record observed during anytime on or prior to cohort index:    25297-Acute pharyngitis",201,25297,326,0,31,295,0.109929078014184,0.105659025787966,0.0137693526679397
25297202,"Condition era record observed concurrent (overlapping) with cohort index:    25297-Acute pharyngitis",202,25297,NA,0,NA,NA,NA,NA,0.0301333614989319
25297251,"Condition era record observed during anytime on or prior to cohort index within condition group:  25297-Acute pharyngitis",201,25297,NA,0,NA,NA,NA,NA,0.13035036788475
25518201,"Condition era record observed during anytime on or prior to cohort index:    25518-Sickle cell trait",201,25518,NA,0,NA,NA,NA,NA,0.0593464521668087
25572151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  25572-Disorder of salivary gland",101,25572,NA,0,NA,NA,NA,NA,0.109037230993918
25572251,"Condition era record observed during anytime on or prior to cohort index within condition group:  25572-Disorder of salivary gland",201,25572,NA,0,NA,NA,NA,NA,-0.0360611777189963
25844101,"Condition occurrence record observed during 365d on or prior to cohort index:  25844-Ulcer of esophagus",101,25844,NA,0,NA,NA,NA,NA,0.0218530404257636
25844201,"Condition era record observed during anytime on or prior to cohort index:    25844-Ulcer of esophagus",201,25844,NA,0,NA,NA,NA,NA,-0.0246167935924645
26052201,"Condition era record observed during anytime on or prior to cohort index:    26052-Primary malignant neoplasm of larynx",201,26052,NA,0,NA,NA,NA,NA,-0.0758098043578903
26459101,"Condition occurrence record observed during 365d on or prior to cohort index:  26459-Acute esophagitis",101,26459,NA,0,NA,NA,NA,NA,0.109007202102873
26459201,"Condition era record observed during anytime on or prior to cohort index:    26459-Acute esophagitis",201,26459,NA,0,NA,NA,NA,NA,0.0622267720229875
26662101,"Condition occurrence record observed during 365d on or prior to cohort index:  26662-Testicular hypofunction",101,26662,NA,0,NA,NA,NA,NA,-0.0804228851753984
26662201,"Condition era record observed during anytime on or prior to cohort index:    26662-Testicular hypofunction",201,26662,NA,0,NA,NA,NA,NA,0.0412332849246993
26727101,"Condition occurrence record observed during 365d on or prior to cohort index:  26727-Hematemesis",101,26727,NA,0,NA,NA,NA,NA,-0.00243169457975465
26727102,"Condition occurrence record observed during 30d on or prior to cohort index:  26727-Hematemesis",102,26727,NA,0,NA,NA,NA,NA,-0.0232219711493589
26727103,"Condition occurrence record of primary inpatient diagnosis observed during 180d on or prior to cohort index:  26727-Hematemesis",103,26727,NA,0,NA,NA,NA,NA,0.218925835476857
26727201,"Condition era record observed during anytime on or prior to cohort index:    26727-Hematemesis",201,26727,NA,0,NA,NA,NA,NA,0.0566298878742576
26727202,"Condition era record observed concurrent (overlapping) with cohort index:    26727-Hematemesis",202,26727,NA,0,NA,NA,NA,NA,0.0371383572613153
26823101,"Condition occurrence record observed during 365d on or prior to cohort index:  26823-Oral phase dysphagia",101,26823,NA,0,NA,NA,NA,NA,0.0237512877396719
26823201,"Condition era record observed during anytime on or prior to cohort index:    26823-Oral phase dysphagia",201,26823,NA,0,NA,NA,NA,NA,-0.128889470034347
26935151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  26935-Disorder of endocrine testis",101,26935,NA,0,NA,NA,NA,NA,0.0366247527195841
26935251,"Condition era record observed during anytime on or prior to cohort index within condition group:  26935-Disorder of endocrine testis",201,26935,NA,0,NA,NA,NA,NA,0.0452275138949257
26942201,"Condition era record observed during anytime on or prior to cohort index:    26942-Hemoglobin SS disease with crisis",201,26942,NA,0,NA,NA,NA,NA,0.151767977163496
27321101,"Condition occurrence record observed during 365d on or prior to cohort index:  27321-Persistent vomiting",101,27321,NA,0,NA,NA,NA,NA,0.0640659813905238
27321102,"Condition occurrence record observed during 30d on or prior to cohort index:  27321-Persistent vomiting",102,27321,NA,0,NA,NA,NA,NA,-0.0463822025436512
27321201,"Condition era record observed during anytime on or prior to cohort index:    27321-Persistent vomiting",201,27321,NA,0,NA,NA,NA,NA,0.0706870936394545
27587201,"Condition era record observed during anytime on or prior to cohort index:    27587-Disturbance of salivary secretion",201,27587,NA,0,NA,NA,NA,NA,-0.0847883990274221
27674101,"Condition occurrence record observed during 365d on or prior to cohort index:  27674-Nausea and vomiting",101,27674,352,0,30,322,0.106382978723404,0.115329512893983,-0.028499211084747
27674102,"Condition occurrence record observed during 30d on or prior to cohort index:  27674-Nausea and vomiting",102,27674,140,0,12,128,0.0425531914893617,0.0458452722063037,-0.0160174491448371
27674103,"Condition occurrence record of primary inpatient diagnosis observed during 180d on or prior to cohort index:  27674-Nausea and vomiting",103,27674,NA,0,NA,NA,NA,NA,0.000702803348799444
27674201,"Condition era record observed during anytime on or prior to cohort index:    27674-Nausea and vomiting",201,27674,542,0,41,501,0.145390070921986,0.179441260744986,-0.092420275148274
27674202,"Condition era record observed concurrent (overlapping) with cohort index:    27674-Nausea and vomiting",202,27674,NA,0,NA,NA,NA,NA,-0.0345090420340961
28060101,"Condition occurrence record observed during 365d on or prior to cohort index:  28060-Streptococcal sore throat",101,28060,NA,0,NA,NA,NA,NA,0.117957897904803
28060201,"Condition era record observed during anytime on or prior to cohort index:    28060-Streptococcal sore throat",201,28060,NA,0,NA,NA,NA,NA,-0.0246167935924645
28385101,"Condition occurrence record observed during 365d on or prior to cohort index:  28385-Disorder of posterior pituitary",101,28385,NA,0,NA,NA,NA,NA,-0.0804228851753984
28385201,"Condition era record observed during anytime on or prior to cohort index:    28385-Disorder of posterior pituitary",201,28385,NA,0,NA,NA,NA,NA,-0.0967258156403916
28385251,"Condition era record observed during anytime on or prior to cohort index within condition group:  28385-Disorder of posterior pituitary",201,28385,NA,0,NA,NA,NA,NA,0.129354555458154
28457201,"Condition era record observed during anytime on or prior to cohort index:    28457-Hypertrophy of tonsils",201,28457,NA,0,NA,NA,NA,NA,-0.0599006473198429
28974101,"Condition occurrence record observed during 365d on or prior to cohort index:  28974-Candidiasis of the esophagus",101,28974,NA,0,NA,NA,NA,NA,0.0218530404257636
28974201,"Condition era record observed during anytime on or prior to cohort index:    28974-Candidiasis of the esophagus",201,28974,NA,0,NA,NA,NA,NA,0.0427012121610313
29056101,"Condition occurrence record observed during 365d on or prior to cohort index:  29056-Sialoadenitis",101,29056,NA,0,NA,NA,NA,NA,0.0728307264763362
29056201,"Condition era record observed during anytime on or prior to cohort index:    29056-Sialoadenitis",201,29056,NA,0,NA,NA,NA,NA,0.0816969167244402
29735101,"Condition occurrence record observed during 365d on or prior to cohort index:  29735-Candidiasis of mouth",101,29735,NA,0,NA,NA,NA,NA,0.029742595104221
29735102,"Condition occurrence record observed during 30d on or prior to cohort index:  29735-Candidiasis of mouth",102,29735,NA,0,NA,NA,NA,NA,-0.000852153716535718
29735103,"Condition occurrence record of primary inpatient diagnosis observed during 180d on or prior to cohort index:  29735-Candidiasis of mouth",103,29735,NA,0,NA,NA,NA,NA,0.0118383773945423
29735201,"Condition era record observed during anytime on or prior to cohort index:    29735-Candidiasis of mouth",201,29735,NA,0,NA,NA,NA,NA,0.0364487287606663
29735202,"Condition era record observed concurrent (overlapping) with cohort index:    29735-Candidiasis of mouth",202,29735,NA,0,NA,NA,NA,NA,0.0728307264763362
30133101,"Condition occurrence record observed during 365d on or prior to cohort index:  30133-Acute laryngitis",101,30133,NA,0,NA,NA,NA,NA,0.104239271759857
30133201,"Condition era record observed during anytime on or prior to cohort index:    30133-Acute laryngitis",201,30133,NA,0,NA,NA,NA,NA,-0.0282843233287167
30133251,"Condition era record observed during anytime on or prior to cohort index within condition group:  30133-Acute laryngitis",201,30133,NA,0,NA,NA,NA,NA,-0.0709008461306822
30163101,"Condition occurrence record observed during 365d on or prior to cohort index:  30163-Cellulitis and abscess of neck",101,30163,NA,0,NA,NA,NA,NA,-0.0804228851753984
30163201,"Condition era record observed during anytime on or prior to cohort index:    30163-Cellulitis and abscess of neck",201,30163,NA,0,NA,NA,NA,NA,-0.0477168729779254
30234101,"Condition occurrence record observed during 365d on or prior to cohort index:  30234-Neck sprain",101,30234,NA,0,NA,NA,NA,NA,0.0490073119703421
30234102,"Condition occurrence record observed during 30d on or prior to cohort index:  30234-Neck sprain",102,30234,NA,0,NA,NA,NA,NA,0.0368415334543046
30234201,"Condition era record observed during anytime on or prior to cohort index:    30234-Neck sprain",201,30234,123,0,16,107,0.0567375886524823,0.038323782234957,0.0866239550676387
30346151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  30346-Primary malignant neoplasm of neck",101,30346,NA,0,NA,NA,NA,NA,-0.0758098043578903
30346251,"Condition era record observed during anytime on or prior to cohort index within condition group:  30346-Primary malignant neoplasm of neck",201,30346,NA,0,NA,NA,NA,NA,0.142840418773676
30361101,"Condition occurrence record observed during 365d on or prior to cohort index:  30361-Hypoglycemic disorder",101,30361,NA,0,NA,NA,NA,NA,-0.0804228851753984
30361151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  30361-Hypoglycemic disorder",101,30361,NA,0,NA,NA,NA,NA,-0.157449283007339
30361152,"Condition occurrence record observed during 30d on or prior to cohort index within condition group:  30361-Hypoglycemic disorder",102,30361,NA,0,NA,NA,NA,NA,-0.13974919409913
30361153,"Condition occurrence record of primary inpatient diagnosis observed during 180d on or prior to cohort index within condition group:  30361-Hypoglycemic disorder",103,30361,NA,0,NA,NA,NA,NA,0.0413093011058057
30361201,"Condition era record observed during anytime on or prior to cohort index:    30361-Hypoglycemic disorder",201,30361,NA,0,NA,NA,NA,NA,-0.0847883990274221
30361251,"Condition era record observed during anytime on or prior to cohort index within condition group:  30361-Hypoglycemic disorder",201,30361,148,0,11,137,0.0390070921985816,0.0490687679083095,-0.0490531750491412
30361252,"Condition era record observed concurrent (overlapping) with cohort index within condition group:  30361-Hypoglycemic disorder",202,30361,NA,0,NA,NA,NA,NA,-0.0170467507540128
30437101,"Condition occurrence record observed during 365d on or prior to cohort index:  30437-Gastro-esophageal reflux disease with esophagitis",101,30437,NA,0,NA,NA,NA,NA,0.00226123000579552
30437102,"Condition occurrence record observed during 30d on or prior to cohort index:  30437-Gastro-esophageal reflux disease with esophagitis",102,30437,NA,0,NA,NA,NA,NA,-0.0929144419623766
30437103,"Condition occurrence record of primary inpatient diagnosis observed during 180d on or prior to cohort index:  30437-Gastro-esophageal reflux disease with esophagitis",103,30437,NA,0,NA,NA,NA,NA,-0.0599006473198429
30437201,"Condition era record observed during anytime on or prior to cohort index:    30437-Gastro-esophageal reflux disease with esophagitis",201,30437,195,0,17,178,0.0602836879432624,0.0637535816618911,-0.0143869655209896
30437202,"Condition era record observed concurrent (overlapping) with cohort index:    30437-Gastro-esophageal reflux disease with esophagitis",202,30437,NA,0,NA,NA,NA,NA,0.0237512877396719
30515101,"Condition occurrence record observed during 365d on or prior to cohort index:  30515-Congenital stenosis of esophagus",101,30515,NA,0,NA,NA,NA,NA,0.129354555458154
30515201,"Condition era record observed during anytime on or prior to cohort index:    30515-Congenital stenosis of esophagus",201,30515,NA,0,NA,NA,NA,NA,-0.0889428099668772
30753101,"Condition occurrence record observed during 365d on or prior to cohort index:  30753-Esophagitis",101,30753,NA,0,NA,NA,NA,NA,0.0321789128721257
30753102,"Condition occurrence record observed during 30d on or prior to cohort index:  30753-Esophagitis",102,30753,NA,0,NA,NA,NA,NA,-0.0140622209143753
30753103,"Condition occurrence record of primary inpatient diagnosis observed during 180d on or prior to cohort index:  30753-Esophagitis",103,30753,NA,0,NA,NA,NA,NA,0.0118383773945423
30753151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  30753-Esophagitis",101,30753,112,0,10,102,0.0354609929078014,0.0365329512893983,-0.0057544992433675
30753152,"Condition occurrence record observed during 30d on or prior to cohort index within condition group:  30753-Esophagitis",102,30753,NA,0,NA,NA,NA,NA,0.141269266193538
30753153,"Condition occurrence record of primary inpatient diagnosis observed during 180d on or prior to cohort index within condition group:  30753-Esophagitis",103,30753,NA,0,NA,NA,NA,NA,0.0513978795210869
30753201,"Condition era record observed during anytime on or prior to cohort index:    30753-Esophagitis",201,30753,136,0,12,124,0.0425531914893617,0.0444126074498567,-0.00911749324287018
30753202,"Condition era record observed concurrent (overlapping) with cohort index:    30753-Esophagitis",202,30753,NA,0,NA,NA,NA,NA,0.0176623821552746
30753251,"Condition era record observed during anytime on or prior to cohort index within condition group:  30753-Esophagitis",201,30753,214,0,27,187,0.0957446808510638,0.0669770773638969,0.105372024808792
30753252,"Condition era record observed concurrent (overlapping) with cohort index within condition group:  30753-Esophagitis",202,30753,NA,0,NA,NA,NA,NA,0.0473923348873943
30968251,"Condition era record observed during anytime on or prior to cohort index within condition group:  30968-Diabetes insipidus",201,30968,NA,0,NA,NA,NA,NA,0.145943196103711
31057201,"Condition era record observed during anytime on or prior to cohort index:    31057-Disorder of pharynx",201,31057,NA,0,NA,NA,NA,NA,0.0707841268701228
31057251,"Condition era record observed during anytime on or prior to cohort index within condition group:  31057-Disorder of pharynx",201,31057,NA,0,NA,NA,NA,NA,0.145943196103711
31317101,"Condition occurrence record observed during 365d on or prior to cohort index:  31317-Dysphagia",101,31317,225,0,17,208,0.0602836879432624,0.0744985673352436,-0.0567239740479769
31317102,"Condition occurrence record observed during 30d on or prior to cohort index:  31317-Dysphagia",102,31317,99,0,12,87,0.0425531914893617,0.0311604584527221,0.0604953671658524
31317103,"Condition occurrence record of primary inpatient diagnosis observed during 180d on or prior to cohort index:  31317-Dysphagia",103,31317,NA,0,NA,NA,NA,NA,0.089905243516706
31317151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  31317-Dysphagia",101,31317,NA,0,NA,NA,NA,NA,0.0153626298814292
31317152,"Condition occurrence record observed during 30d on or prior to cohort index within condition group:  31317-Dysphagia",102,31317,NA,0,NA,NA,NA,NA,0.0839269878450263
31317153,"Condition occurrence record of primary inpatient diagnosis observed during 180d on or prior to cohort index within condition group:  31317-Dysphagia",103,31317,NA,0,NA,NA,NA,NA,0.109007202102873
31317201,"Condition era record observed during anytime on or prior to cohort index:    31317-Dysphagia",201,31317,389,0,35,354,0.124113475177305,0.126790830945559,-0.00808311549214098
31317202,"Condition era record observed concurrent (overlapping) with cohort index:    31317-Dysphagia",202,31317,NA,0,NA,NA,NA,NA,-0.0159445045714856
31317251,"Condition era record observed during anytime on or prior to cohort index within condition group:  31317-Dysphagia",201,31317,NA,0,NA,NA,NA,NA,-0.0209034237223694
